country	year	sport	event	athlete	Result	medal
China	1992	Badminton	Men's Doubles	Yongbo Li 		BRONZE
China	1992	Badminton	Men's Doubles	Bingyi Tian 		BRONZE
China	1992	Badminton	Women's Singles	Jiuhong Tang 		BRONZE
China	1992	Badminton	Women's Singles	Hua Huang 		BRONZE
China	1992	Badminton	Women's Doubles	Weizhen Guan 		SILVER
China	1992	Badminton	Women's Doubles	Qunhua Nong 		SILVER
China	1992	Badminton	Women's Doubles	Fen Yao 		BRONZE
China	1992	Badminton	Women's Doubles	Yanfen Lin 		BRONZE
China	1992	Basketball	Basketball Women	Jun Liu 		SILVER
China	1992	Basketball	Basketball Women	Qing Liu 		SILVER
China	1992	Basketball	Basketball Women	Xin Li 		SILVER
China	1992	Basketball	Basketball Women	Dongmei Li 		SILVER
China	1992	Basketball	Basketball Women	Xuedi Cong 		SILVER
China	1992	Basketball	Basketball Women	Jun He 		SILVER
China	1992	Basketball	Basketball Women	Shuping Zhan 		SILVER
China	1992	Basketball	Basketball Women	Fang Wang 		SILVER
China	1992	Basketball	Basketball Women	Ping Peng 		SILVER
China	1992	Basketball	Basketball Women	Dongmei Zheng 		SILVER
China	1992	Basketball	Basketball Women	Haixia Zheng 		SILVER
China	1992	Diving	Springboard Diving Men	Liangde Tan 	645.57	SILVER
China	1992	Diving	Platform Diving Men	Shuwei Sun 	677.31	GOLD
China	1992	Diving	Platform Diving Men	Ni Xiong 	600.15	BRONZE
China	1992	Diving	Springboard Diving Women	Min Gao 	572.4	GOLD
China	1992	Diving	Platform Diving Women	Mingxia Fu 	461.43	GOLD
China	1992	Fencing	Foil, Individual Women	Huifeng Wang 		SILVER
China	1992	Gymnastics	Parallel Bars	Jing Li 	9.812	SILVER
China	1992	Gymnastics	Parallel Bars	Linyao Guo 	9.80	BRONZE
China	1992	Gymnastics	Rings	Jing Li 	9.875	SILVER
China	1992	Gymnastics	Rings	Xiaoshuang Li 	9.862	BRONZE
China	1992	Gymnastics	Floor Exercises	Xiaoshuang Li 	9.925	GOLD
China	1992	Gymnastics	Team Combined Exercises	Xiaoshuang Li 	580.375	SILVER
China	1992	Gymnastics	Team Combined Exercises	Ge Li 	580.375	SILVER
China	1992	Gymnastics	Team Combined Exercises	Jing Li 	580.375	SILVER
China	1992	Gymnastics	Team Combined Exercises	Chunyang Li 	580.375	SILVER
China	1992	Gymnastics	Team Combined Exercises	Dashuang Li 	580.375	SILVER
China	1992	Gymnastics	Team Combined Exercises	Linyao Guo 	580.375	SILVER
China	1992	Gymnastics	Asymmetrical Bars Women	Li Lu 	10.000	GOLD
China	1992	Gymnastics	Balance Beam Women	Li Lu 	9.912	SILVER
China	1992	Judo	Half Lightweight (52kg) Women	Zhongyun Li 		BRONZE
China	1992	Judo	Half Middleweight (61kg) Women	Di Zhang 		BRONZE
China	1992	Judo	Heavyweight Women	Xiaoyan Zhuang 		GOLD
China	1992	Rowing	Double Sculls Women	Huali Lu 	6:55.16	BRONZE
China	1992	Rowing	Double Sculls Women	Xiaoli Gu 	6:55.16	BRONZE
China	1992	Shooting	Free Pistol	Yifu Wang 		SILVER
China	1992	Shooting	Air Pistol	Yifu Wang 	684.8	GOLD
China	1992	Shooting	Skeet Shooting	Shan Zhang 	223	GOLD
China	1992	Shooting	Sport Pistol Women	Duihong Li 	680	SILVER
China	1992	Swimming	50m Freestyle Women	Wenyi Yang 	24.79	GOLD
China	1992	Swimming	50m Freestyle Women	Yong Zhuang 	25.08	SILVER
China	1992	Swimming	100m Freestyle Women	Yong Zhuang 	54.64	GOLD
China	1992	Swimming	200m Breaststroke Women	Li Lin 	2:26.85	SILVER
China	1992	Swimming	100m Butterfly Women	Hong Qian 	58.62	GOLD
China	1992	Swimming	200m Butterfly Women	Xiaohong Wang 	2:09.01	SILVER
China	1992	Swimming	200m Individual Medley Women	Li Lin 	2:11.65	GOLD
China	1992	Swimming	400m Individual Medley Women	Li Lin 	4:36.73	SILVER
China	1992	Swimming	4x100m Freestyle Relay Women	Jingyi Le 	3:40.12	SILVER
China	1992	Swimming	4x100m Freestyle Relay Women	Wenyi Yang 	3:40.12	SILVER
China	1992	Swimming	4x100m Freestyle Relay Women	Kun Zhao	3:40.12	SILVER
China	1992	Swimming	4x100m Freestyle Relay Women	Bin Lu 	3:40.12	SILVER
China	1992	Swimming	4x100m Freestyle Relay Women	Yong Zhuang 	3:40.12	SILVER
China	1992	Table Tennis	Men's Singles	Wenge Ma 		BRONZE
China	1992	Table Tennis	Men's Doubles	Lin Lu 		GOLD
China	1992	Table Tennis	Men's Doubles	Tao Wang 		GOLD
China	1992	Table Tennis	Women's Singles	Yaping Deng 		GOLD
China	1992	Table Tennis	Women's Singles	Hong Qiao 		SILVER
China	1992	Table Tennis	Women's Doubles	Hong Qiao 		GOLD
China	1992	Table Tennis	Women's Doubles	Yaping Deng 		GOLD
China	1992	Table Tennis	Women's Doubles	Zihe Chen 		SILVER
China	1992	Table Tennis	Women's Doubles	Jun Gao 		SILVER
China	1992	Weightlifting	Flyweight 52kg	Qisheng Lin 	262.5	SILVER
China	1992	Weightlifting	Bantamweight 56kg	Shoubin Liu 	277.5	SILVER
China	1992	Weightlifting	Bantamweight 56kg	Jianming Luo 	277.5	BRONZE
China	1992	Weightlifting	Featherweight 60kg	Yingqiang He 	295	BRONZE
China	1992	Wrestling	Greco-Roman Bantamweight	Zetian Sheng 		BRONZE
China	1992	Sailing	Windglider Women	Xiaodong Zhang 	65.8	SILVER
Cuba	1992	Track & Field	4x100m Relay Men	Jorge Aguilera	38.00	BRONZE
Cuba	1992	Track & Field	4x100m Relay Men	Joel Isasi	38.00	BRONZE
Cuba	1992	Track & Field	4x100m Relay Men	Joel Lamela	38.00	BRONZE
Cuba	1992	Track & Field	4x100m Relay Men	Andrés Simón	38.00	BRONZE
Cuba	1992	Track & Field	4x400m Relay Men	Norberto Téllez	2:59.51	SILVER
Cuba	1992	Track & Field	4x400m Relay Men	Lázaro Martínez	2:59.51	SILVER
Cuba	1992	Track & Field	4x400m Relay Men	Roberto Hernández	2:59.51	SILVER
Cuba	1992	Track & Field	4x400m Relay Men	Héctor Herrera	2:59.51	SILVER
Cuba	1992	Track & Field	High Jump Men	Javier Sotomayor	2.34	GOLD
Cuba	1992	Track & Field	Discus Throw Men	Roberto Moya	64.12	BRONZE
Cuba	1992	Track & Field	800m Women	Ana Quirot	1:56.80	BRONZE
Cuba	1992	Track & Field	High Jump Women	Ioamnet Quintero	1.97	BRONZE
Cuba	1992	Track & Field	Discus Throw Women	Maritza Martén	70.06	GOLD
Cuba	1992	Baseball	Baseball	Antonio Pacheco		GOLD
Cuba	1992	Baseball	Baseball	Juan Padilla		GOLD
Cuba	1992	Baseball	Baseball	Juan Pérez		GOLD
Cuba	1992	Baseball	Baseball	Germán Mesa		GOLD
Cuba	1992	Baseball	Baseball	Víctor Mesa		GOLD
Cuba	1992	Baseball	Baseball	Omar Linares		GOLD
Cuba	1992	Baseball	Baseball	Luis Ulacia		GOLD
Cuba	1992	Baseball	Baseball	Ermidelio Urrutia		GOLD
Cuba	1992	Baseball	Baseball	Jorge Valdés		GOLD
Cuba	1992	Baseball	Baseball	Lázaro Vargas		GOLD
Cuba	1992	Baseball	Baseball	Lourdes Gurriel		GOLD
Cuba	1992	Baseball	Baseball	Alberto Hernández		GOLD
Cuba	1992	Baseball	Baseball	Orlando Hernández		GOLD
Cuba	1992	Baseball	Baseball	Orestes Kindelán		GOLD
Cuba	1992	Baseball	Baseball	Omar Ajete		GOLD
Cuba	1992	Baseball	Baseball	Rolando Arrojo		GOLD
Cuba	1992	Baseball	Baseball	José Estrada		GOLD
Cuba	1992	Baseball	Baseball	Osvaldo Fernández		GOLD
Cuba	1992	Baseball	Baseball	José Delgado		GOLD
Cuba	1992	Baseball	Baseball	Giorge Diaz		GOLD
Cuba	1992	Boxing	Light Flyweight	Rogelio Marcelo		GOLD
Cuba	1992	Boxing	Flyweight	Raúl González		SILVER
Cuba	1992	Boxing	Bantamweight	Joel Casamayor		GOLD
Cuba	1992	Boxing	Light Welterweight	Héctor Vinent		GOLD
Cuba	1992	Boxing	Welterweight	Juan Hernández		SILVER
Cuba	1992	Boxing	Light Middleweight	Juan Carlos Lemus		GOLD
Cuba	1992	Boxing	Middleweight	Ariel Hernández		GOLD
Cuba	1992	Boxing	Heavyweight	Félix Savón		GOLD
Cuba	1992	Boxing	Super Heavyweight	Roberto Balado		GOLD
Cuba	1992	Fencing	Foil, Individual	Elvis Gregory		BRONZE
Cuba	1992	Fencing	Foil, Team Men	Elvis Gregory		SILVER
Cuba	1992	Fencing	Foil, Team Men	Tulio Díaz		SILVER
Cuba	1992	Fencing	Foil, Team Men	Hermenegildo García		SILVER
Cuba	1992	Fencing	Foil, Team Men	Oscar García		SILVER
Cuba	1992	Fencing	Foil, Team Men	Guillermo Betancourt		SILVER
Cuba	1992	Judo	Half Lightweight (65kg) Men	Israel Hernández		BRONZE
Cuba	1992	Judo	Extra Lightweight (48kg) Women	Amarilis Savón		BRONZE
Cuba	1992	Judo	Lightweight (56kg) Women	Driulis González		BRONZE
Cuba	1992	Judo	Middleweight (66kg) Women	Odalis Revé		GOLD
Cuba	1992	Judo	Heavyweight Women	Estela Rodríguez		SILVER
Cuba	1992	Volleyball	Volleyball Women	Regla Torres		GOLD
Cuba	1992	Volleyball	Volleyball Women	Mireya Luis		GOLD
Cuba	1992	Volleyball	Volleyball Women	Tania Ortiz		GOLD
Cuba	1992	Volleyball	Volleyball Women	Norka Latamblet		GOLD
Cuba	1992	Volleyball	Volleyball Women	Lilia Izquierdo		GOLD
Cuba	1992	Volleyball	Volleyball Women	Mercedes Calderón		GOLD
Cuba	1992	Volleyball	Volleyball Women	Magaly Carvajal		GOLD
Cuba	1992	Volleyball	Volleyball Women	Marlenis Costa		GOLD
Cuba	1992	Volleyball	Volleyball Women	Regla Bell		GOLD
Cuba	1992	Volleyball	Volleyball Women	Idalmis Gato		GOLD
Cuba	1992	Weightlifting	Middleweight 75kg	Pablo Lara	357.5	SILVER
Cuba	1992	Wrestling	Greco-Roman Light Flyweight	Wilber Sánchez		BRONZE
Cuba	1992	Wrestling	Greco-Roman Featherweight	Juan Marén		BRONZE
Cuba	1992	Wrestling	Greco-Roman Heavyweight	Hector Milián		GOLD
Cuba	1992	Wrestling	Freestyle Bantamweight 57kg	Alejandro Puerto		GOLD
Cuba	1992	Wrestling	Freestyle Featherweight 62kg	Lázaro Reinoso		BRONZE
Hungary	1992	Boxing	Flyweight	István Kovács		BRONZE
Hungary	1992	Boxing	Light Middleweight	György Mizsei		BRONZE
Hungary	1992	Boxing	Light Heavyweight	Zoltán Béres		BRONZE
Hungary	1992	Canoeing	K1 500m Kayak Singles (Men)	Zsolt Gyulai	1:40.64	SILVER
Hungary	1992	Canoeing	K4 1000m Kayak Fours (Men)	Zsolt Gyulai	2:54.82	SILVER
Hungary	1992	Canoeing	K4 1000m Kayak Fours (Men)	László Fidel	2:54.82	SILVER
Hungary	1992	Canoeing	K4 1000m Kayak Fours (Men)	Attila Àbrahám	2:54.82	SILVER
Hungary	1992	Canoeing	K4 1000m Kayak Fours (Men)	Ferenc Csipes	2:54.82	SILVER
Hungary	1992	Canoeing	C1 1000m Canadian Singles (Men)	György Zala	4:07.35	BRONZE
Hungary	1992	Canoeing	K1 500m Kayak Singles (Women)	Rita Köbán	1:51.96	SILVER
Hungary	1992	Canoeing	K2 500m Kayak Pairs (Women)	Rita Köbán	1:40.81	BRONZE
Hungary	1992	Canoeing	K2 500m Kayak Pairs (Women)	Éva Dónusz	1:40.81	BRONZE
Hungary	1992	Canoeing	K4 500m Kayak Fours (Women)	Éva Dónusz	1:38.32	GOLD
Hungary	1992	Canoeing	K4 500m Kayak Fours (Women)	Kinga Czigány	1:38.32	GOLD
Hungary	1992	Canoeing	K4 500m Kayak Fours (Women)	Rita Köbán	1:38.32	GOLD
Hungary	1992	Canoeing	K4 500m Kayak Fours (Women)	Erika Mészáros	1:38.32	GOLD
Hungary	1992	Fencing	Épée, Team	Iván Kovács		SILVER
Hungary	1992	Fencing	Épée, Team	Ernõ Kolczonay		SILVER
Hungary	1992	Fencing	Épée, Team	Krisztián Kulcsár		SILVER
Hungary	1992	Fencing	Épée, Team	Ferenc Hegedüs		SILVER
Hungary	1992	Fencing	Épée, Team	Gábor Totola		SILVER
Hungary	1992	Fencing	Sabre, Individual	Bence Szabó		GOLD
Hungary	1992	Fencing	Sabre, Team	Bence Szabó		SILVER
Hungary	1992	Fencing	Sabre, Team	Péter Abay		SILVER
Hungary	1992	Fencing	Sabre, Team	Imre Bujdosó		SILVER
Hungary	1992	Fencing	Sabre, Team	György Nébald		SILVER
Hungary	1992	Fencing	Sabre, Team	Csaba Köves		SILVER
Hungary	1992	Gymnastics	Side Horse Vault Women	Henrietta Ónodi	9.925	GOLD
Hungary	1992	Gymnastics	Floor Exercises Women	Henrietta Ónodi	9.95	SILVER
Hungary	1992	Judo	Half Lightweight (65kg) Men	Rogério Sampaio		GOLD
Hungary	1992	Judo	Half Lightweight (65kg) Men	József Csák		SILVER
Hungary	1992	Judo	Lightweight (71kg) Men	Bertalan Hajtós		SILVER
Hungary	1992	Judo	Half Heavyweight (95kg) Men	Antal Kovács		GOLD
Hungary	1992	Judo	Heavyweight Men	Imre Csõsz		BRONZE
Hungary	1992	Modern Pentathlon	Individual	Attila Mizsér	5446	SILVER
Hungary	1992	Swimming	100m Breaststroke Men	Norbert Rózsa	1:01.68	SILVER
Hungary	1992	Swimming	200m Breaststroke Men	Norbert Rózsa	2:11.23	SILVER
Hungary	1992	Swimming	200m Individual Medley Men	Tamás Darnyi	2:00.76	GOLD
Hungary	1992	Swimming	200m Individual Medley Men	Attila Czene	2:01.00	BRONZE
Hungary	1992	Swimming	400m Individual Medley Men	Tamás Darnyi	4:14.23	GOLD
Hungary	1992	Swimming	100m Backstroke Women	Krisztina Egerszegi	1:00.68	GOLD
Hungary	1992	Swimming	100m Backstroke Women	Tünde Szabó	1:01.14	SILVER
Hungary	1992	Swimming	200m Backstroke Women	Krisztina Egerszegi	2:07.06	GOLD
Hungary	1992	Swimming	400m Individual Medley Women	Krisztina Egerszegi	4:36.54	GOLD
Hungary	1992	Wrestling	Greco-Roman Lightweight	Attila Repka		GOLD
Hungary	1992	Wrestling	Greco-Roman Middleweight	Péter Farkas		GOLD
France	1992	Archery	Double F.I.T.A. Round Men	Sebastien Flute	110	GOLD
France	1992	Track & Field	400m Women	Marie-José Pérec	48.83	GOLD
France	1992	Canoeing	C2 1000m Canadian Pairs (Men)	Didier Hoyer	3:39.51	BRONZE
France	1992	Canoeing	C2 1000m Canadian Pairs (Men)	Olivier Boivin	3:39.51	BRONZE
France	1992	Canoeing	K1  Kayak Slalom Singles (Men)	Sylvain Curinier	107.06	SILVER
France	1992	Canoeing	C1  Canadian Slalom Singles (Men)	Jacky Avril	117.18	BRONZE
France	1992	Canoeing	C2  Canadian Slalom Pairs (Men)	Frank Adisson	124.38	BRONZE
France	1992	Canoeing	C2  Canadian Slalom Pairs (Men)	Wilfrid Forgues	124.38	BRONZE
France	1992	Cycling	Team Road Race Men	Philippe Gaumont	2:05:25	BRONZE
France	1992	Cycling	Team Road Race Men	Jean-Louis Harel	2:05:25	BRONZE
France	1992	Cycling	Team Road Race Men	Hervé Boussard	2:05:25	BRONZE
France	1992	Cycling	Team Road Race Men	Didier Faivre-Pierret	2:05:25	BRONZE
France	1992	Cycling	Individual Road Race Women	Jeannie Longo-Ciprelli	2:05:02	SILVER
France	1992	Equestrian	Jumping, Team	Eric Navet	24.75	BRONZE
France	1992	Equestrian	Jumping, Team	Michel Robert	24.75	BRONZE
France	1992	Equestrian	Jumping, Team	Hubert Bourdy	24.75	BRONZE
France	1992	Equestrian	Jumping, Team	Hervé Godignon	24.75	BRONZE
France	1992	Fencing	Foil, Individual	Philippe Omnès		GOLD
France	1992	Fencing	Épée, Individual	Eric Srecki		GOLD
France	1992	Fencing	Épée, Individual	Jean-Michel Henry		BRONZE
France	1992	Fencing	Sabre, Individual	Jean-François Lamour		BRONZE
France	1992	Fencing	Sabre, Team	Jean-François Lamour		BRONZE
France	1992	Fencing	Sabre, Team	Hervé Granger-Veyron		BRONZE
France	1992	Fencing	Sabre, Team	Pierre Guichot		BRONZE
France	1992	Fencing	Sabre, Team	Franck Ducheix		BRONZE
France	1992	Fencing	Sabre, Team	Jean-Philippe Daurelle		BRONZE
France	1992	Handball	Handball Men	Philippe Debureau		BRONZE
France	1992	Handball	Handball Men	Philippe Gardent		BRONZE
France	1992	Handball	Handball Men	Denis Lathoud		BRONZE
France	1992	Handball	Handball Men	Stéphane Stoecklin		BRONZE
France	1992	Handball	Handball Men	Frederic Perez		BRONZE
France	1992	Handball	Handball Men	Thierry Perreux		BRONZE
France	1992	Handball	Handball Men	Gael Monthurel		BRONZE
France	1992	Handball	Handball Men	Laurent Munier		BRONZE
France	1992	Handball	Handball Men	Pascal Mahe		BRONZE
France	1992	Handball	Handball Men	Philippe Medard		BRONZE
France	1992	Handball	Handball Men	Alain Portes		BRONZE
France	1992	Handball	Handball Men	Eric Quintin		BRONZE
France	1992	Handball	Handball Men	Jackson Richardson		BRONZE
France	1992	Handball	Handball Men	Jean-Luc Thiebaut		BRONZE
France	1992	Handball	Handball Men	Denis Tristant		BRONZE
France	1992	Handball	Handball Men	Frederic Volle		BRONZE
France	1992	Judo	Half Middleweight (78kg) Men	Bertrand Damaisin		BRONZE
France	1992	Judo	Middleweight (86kg) Men	Pascal Tayot		SILVER
France	1992	Judo	Heavyweight Men	David Douillet		BRONZE
France	1992	Judo	Extra Lightweight (48kg) Women	Cécile Nowak		GOLD
France	1992	Judo	Half Middleweight (61kg) Women	Catherine Fleury-Vachon		GOLD
France	1992	Judo	Half Heavyweight (72kg) Women	Laetitia Meignan		BRONZE
France	1992	Judo	Heavyweight Women	Natalina Lupino		BRONZE
France	1992	Shooting	Air Rifle	Franck Badiou	691.9	SILVER
France	1992	Swimming	100m Freestyle Men	Stephan Caron	49.50	BRONZE
France	1992	Swimming	200m Butterfly Men	Frank Esposito	1:58.51	BRONZE
France	1992	Swimming	100m Butterfly Women	Catherine Plewinski	59.01	BRONZE
France	1992	Table Tennis	Men's Singles	Jean-Philippe Gatien		SILVER
France	1992	Sailing	Lechner Sailboard Men	Franck David	70.7	GOLD
France	1992	Sailing	Tornado	Yves Loday	40.4	GOLD
France	1992	Sailing	Tornado	Nicolas Hénard	40.4	GOLD
South Korea	1992	Archery	Double F.I.T.A. Round Men	Jae-Hun Chung 	107	SILVER
South Korea	1992	Archery	Double F.I.T.A. Round Women	Youn-Jeong Cho 	112	GOLD
South Korea	1992	Archery	Double F.I.T.A. Round Women	Soo-Nyung Kim 	105	SILVER
South Korea	1992	Archery	Women's Team	Soo-Nyung Kim 	236	GOLD
South Korea	1992	Archery	Women's Team	Eun-Kyung Lee 	236	GOLD
South Korea	1992	Archery	Women's Team	Youn-Jeong Cho 	236	GOLD
South Korea	1992	Track & Field	Marathon Men	Young-cho Hwang 	2:13:23	GOLD
South Korea	1992	Badminton	Men's Doubles	Moon-Soo Kim 		GOLD
South Korea	1992	Badminton	Men's Doubles	Joo-Bong Park 		GOLD
South Korea	1992	Badminton	Women's Singles	Soo-Hyun Bang 		SILVER
South Korea	1992	Badminton	Women's Doubles	So-Young Chung 		GOLD
South Korea	1992	Badminton	Women's Doubles	Hae-Young Hwang 		GOLD
South Korea	1992	Badminton	Women's Doubles	Young-Ah Gil 		BRONZE
South Korea	1992	Badminton	Women's Doubles	Eun-Jung Shim 		BRONZE
South Korea	1992	Boxing	Lightweight	Sung-Sik Hong 		BRONZE
South Korea	1992	Boxing	Middleweight	Seung-Bae Lee 		BRONZE
South Korea	1992	Gymnastics	Long Horse Vault	Ok-Ryul Yoo 	9.762	BRONZE
South Korea	1992	Handball	Handball Women	Jeong-Lim Park 		GOLD
South Korea	1992	Handball	Handball Women	Kap-Sook Park 		GOLD
South Korea	1992	Handball	Handball Women	Ho-Youn Lee 		GOLD
South Korea	1992	Handball	Handball Women	Mi-Young Lee 		GOLD
South Korea	1992	Handball	Handball Women	Hyang-Ja Moon 		GOLD
South Korea	1992	Handball	Handball Women	Eun-Young Nam 		GOLD
South Korea	1992	Handball	Handball Women	Seong-Ok Oh 		GOLD
South Korea	1992	Handball	Handball Women	O-Kyeong Lim 		GOLD
South Korea	1992	Handball	Handball Women	Hye-Sook Min 		GOLD
South Korea	1992	Handball	Handball Women	Hwa-Sook Kim 		GOLD
South Korea	1992	Handball	Handball Women	Yeong-Ho Hong 		GOLD
South Korea	1992	Handball	Handball Women	Ri-Ra Jang 		GOLD
South Korea	1992	Handball	Handball Women	Hyun-Sook Han 		GOLD
South Korea	1992	Handball	Handball Women	Sun-Hee Han 		GOLD
South Korea	1992	Handball	Handball Women	Jae-Kyung Cha 		GOLD
South Korea	1992	Judo	Extra Lightweight (60kg) Men	Hyun Yoon 		SILVER
South Korea	1992	Judo	Lightweight (71kg) Men	Hoon Chung 		BRONZE
South Korea	1992	Judo	Half Middleweight (78kg) Men	Byung-Joo Kim 		BRONZE
South Korea	1992	Judo	Half Heavyweight (72kg) Women	Mi-Jung Kim 		GOLD
South Korea	1992	Shooting	Small-bore Rifle, prone	Eun-Chul Lee 	702.5	GOLD
South Korea	1992	Shooting	Air Rifle Women	Kab-Soon Yeo 	498.2	GOLD
South Korea	1992	Table Tennis	Men's Singles	Taek-Soo Kim 		BRONZE
South Korea	1992	Table Tennis	Men's Doubles	Taek-Soo Kim 		BRONZE
South Korea	1992	Table Tennis	Men's Doubles	Chul-Seung Lee 		BRONZE
South Korea	1992	Table Tennis	Men's Doubles	Hee-Chan Kang 		BRONZE
South Korea	1992	Table Tennis	Men's Doubles	Nam-Kyu Yoo 		BRONZE
South Korea	1992	Table Tennis	Women's Singles	Jung-Hwa Hyun 		BRONZE
South Korea	1992	Table Tennis	Women's Doubles	Jung-Hwa Hyun 		BRONZE
South Korea	1992	Table Tennis	Women's Doubles	Cha-Ok Hong 		BRONZE
South Korea	1992	Weightlifting	Bantamweight 56kg	Byung-Kwan Chun 	287.5	GOLD
South Korea	1992	Wrestling	Greco-Roman Flyweight	Kyung-Kap Min 		BRONZE
South Korea	1992	Wrestling	Greco-Roman Bantamweight	Han-Bong An 		GOLD
South Korea	1992	Wrestling	Freestyle Light Flyweight 48kg	Jong-Shin Kim 		SILVER
South Korea	1992	Wrestling	Freestyle Welterweight 74kg	Jang-Soon Park 		GOLD
Australia	1992	Track & Field	High Jump Men	Timothy Forsythe	2.34	BRONZE
Australia	1992	Track & Field	Discus Throw Women	Daniela Costian	66.24	BRONZE
Australia	1992	Canoeing	K1 1000m Kayak Singles (Men)	Clint Robinson	3:37.26	GOLD
Australia	1992	Canoeing	K4 1000m Kayak Fours (Men)	Ian Rowling	2:56.97	BRONZE
Australia	1992	Canoeing	K4 1000m Kayak Fours (Men)	Steven Wood	2:56.97	BRONZE
Australia	1992	Canoeing	K4 1000m Kayak Fours (Men)	Kelvin Graham	2:56.97	BRONZE
Australia	1992	Canoeing	K4 1000m Kayak Fours (Men)	Ramon Andersson	2:56.97	BRONZE
Australia	1992	Canoeing	K1  Kayak Slalom Singles (Women)	Danielle Woodward	128.27	SILVER
Australia	1992	Cycling	1000m Sprint (Scratch) Men	Gary Neiwand		SILVER
Australia	1992	Cycling	1000m Time Trial Men	Shane Kelly	1:04.288	SILVER
Australia	1992	Cycling	4000m Team Pursuit Men	Shaun O'Brien	4:10.218	SILVER
Australia	1992	Cycling	4000m Team Pursuit Men	Stuart O'Grady	4:10.218	SILVER
Australia	1992	Cycling	4000m Team Pursuit Men	Stephen McGlede	4:10.218	SILVER
Australia	1992	Cycling	4000m Team Pursuit Men	Brett Aitken	4:10.218	SILVER
Australia	1992	Cycling	Individual Road Race Women	Kathryn Watt	2:04:42	GOLD
Australia	1992	Cycling	3000m Individual Pursuit Women	Kathryn Watt	3:43.438	SILVER
Australia	1992	Equestrian	Three-Day Event, Individual	Matthew Ryan	-70.0	GOLD
Australia	1992	Equestrian	Three-Day Event, Team	Matthew Ryan	-286.6	GOLD
Australia	1992	Equestrian	Three-Day Event, Team	Gillian Rolton	-286.6	GOLD
Australia	1992	Equestrian	Three-Day Event, Team	Andrew Hoy	-286.6	GOLD
Australia	1992	Field Hockey	Field Hockey Men	Paul Lewis		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Gregory Corbitt		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Stephen Davies		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Damon Diletti		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Lachlan Dreher		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Lachlan Elmer		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Michael Evans		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Ashley Carey		SILVER
Australia	1992	Field Hockey	Field Hockey Men	John Bestall		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Warren Birmingham		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Lee Bodimeade		SILVER
Australia	1992	Field Hockey	Field Hockey Men	David Wansbrough		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Kenneth Wark		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Michael York		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Jay Stacy		SILVER
Australia	1992	Field Hockey	Field Hockey Men	Graham Reid		SILVER
Australia	1992	Rowing	Double Sculls Men	Peter Antonie	6:17.32	GOLD
Australia	1992	Rowing	Double Sculls Men	Stephen Hawkins	6:17.32	GOLD
Australia	1992	Rowing	Coxless Fours Men	Mike McKay	5:55.04	GOLD
Australia	1992	Rowing	Coxless Fours Men	Andrew Cooper	5:55.04	GOLD
Australia	1992	Rowing	Coxless Fours Men	Nicholas Green	5:55.04	GOLD
Australia	1992	Rowing	Coxless Fours Men	James Tomkins	5:55.04	GOLD
Australia	1992	Swimming	400m Freestyle Men	Kieren Perkins	3:45.16	SILVER
Australia	1992	Swimming	1500m Freestyle Men	Kieren Perkins	14:43.48	GOLD
Australia	1992	Swimming	1500m Freestyle Men	Glen Housman	14:55.29	SILVER
Australia	1992	Swimming	100m Breaststroke Men	Philip Rogers	1:01.76	BRONZE
Australia	1992	Swimming	400m Freestyle Women	Hayley Lewis	4:11.22	BRONZE
Australia	1992	Swimming	800m Freestyle Women	Hayley Lewis	8:30.34	SILVER
Australia	1992	Swimming	200m Backstroke Women	Nicole Stevenson	2:10.20	BRONZE
Australia	1992	Swimming	100m Breaststroke Women	Samantha Riley	1:09.25	BRONZE
Australia	1992	Swimming	200m Butterfly Women	Susan O'Neill	2:09.03	BRONZE
Australia	1992	Tennis	Women's Doubles	Nicole Provis		BRONZE
Australia	1992	Tennis	Women's Doubles	Rachel McQuillan		BRONZE
Australia	1992	Sailing	Lechner Sailboard Men	Lars Kleppich	98.7	BRONZE
Australia	1992	Sailing	Tornado	John Forbes	44.4	BRONZE
Australia	1992	Sailing	Tornado	Mitch Booth	44.4	BRONZE
Spain	1992	Archery	Men's Team	Juan Carlos Hodalgo	238	GOLD
Spain	1992	Archery	Men's Team	Alfonso Menéndez	238	GOLD
Spain	1992	Archery	Men's Team	Antonio Vázquez	238	GOLD
Spain	1992	Track & Field	1500m Men	Fermin Cacho	3:40.12	GOLD
Spain	1992	Track & Field	20km Walk Men	Daniel Plaza	1:21:45	GOLD
Spain	1992	Track & Field	Pole Vault Men	Javier García	5.75	BRONZE
Spain	1992	Track & Field	Decathlon Men	Antonio Peñalver	8412	SILVER
Spain	1992	Boxing	Featherweight	Faustino Reyes		SILVER
Spain	1992	Cycling	1000m Time Trial Men	José Moreno	1:03.342	GOLD
